shareholder_name,ownership_percentage
Mr S E Captain,9.68
Melstacorp PLC,9.31
HWIC Asia Fund,8.61
Paints and General Industries Limited,7.27
Asian Development Bank,4.7
Citigroup Global Markets Limited Agency Trading Prop Securities A/C,4.47
Schroder International Selection Fund,3.21
CIC Holdings PLC,2.55
Aberdeen Standard Asia Focus PLC,2.41
Norges Bank Account 2,2.3
Sri Lanka Insurance Corporation Limited - Life Fund,1.58
Mr Kandiah Balendra,1.41
Employees Trust Fund Board,1.34
Mrs C S De Fonseka,1.27
Edgbaston Asian Equity Trust,1.27
Fidelity Fund - Pacific,1.1
Mrs S A J De Fonseka,1.1
Polypak Secco Limited,1.08
Chemanex PLC,0.95
Sunsuper Superannuation Fund,0.84
